european_countries;p_age;p_gender;p_education;p_country;p_id
germany;26;Male;Bachelor's degree;germany;0
france;26;Male;Bachelor's degree;germany;0
italy;26;Male;Bachelor's degree;germany;0
germany;44;Male;Doctorate (e.g. PhD);germany;1
france;44;Male;Doctorate (e.g. PhD);germany;1
italy;44;Male;Doctorate (e.g. PhD);germany;1
france;46;Male;Bachelor's degree;france;2
germany;46;Male;Bachelor's degree;france;2
italy;46;Male;Bachelor's degree;france;2
germany;28;Male;Master's degree;germany;3
france;28;Male;Master's degree;germany;3
united kingdom;28;Male;Master's degree;germany;3
austria;34;Female;Master's degree;switzerland;4
germany;34;Female;Master's degree;switzerland;4
france;34;Female;Master's degree;switzerland;4
germany;27;Male;Bachelor's degree;germany;5
france;27;Male;Bachelor's degree;germany;5
spain;27;Male;Bachelor's degree;germany;5
germany;27;Male;Master's degree;germany;6
switzerland;27;Male;Master's degree;germany;6
denmark;27;Male;Master's degree;germany;6
bulgaria;27;Male;Master's degree;germany;7
poland;27;Male;Master's degree;germany;7
italy;27;Male;Master's degree;germany;7
germany;28;Male;High school degree or equivalent;germany;8
austria;28;Male;High school degree or equivalent;germany;8
switzerland;28;Male;High school degree or equivalent;germany;8
germany;29;Male;Master's degree;germany;9
france;29;Male;Master's degree;germany;9
spain;29;Male;Master's degree;germany;9
germany;26;Male;Master's degree;germany;10
switzerland;26;Male;Master's degree;germany;10
denmark;26;Male;Master's degree;germany;10
monaco;37;Male;Master's degree;germany;11
vatican city;37;Male;Master's degree;germany;11
ukraine;37;Male;Master's degree;germany;11
france;24;Male;Master's degree;germany;12
germany;24;Male;Master's degree;germany;12
denmark;24;Male;Master's degree;germany;12
germany;26;Female;Master's degree;germany;13
france;26;Female;Master's degree;germany;13
italy;26;Female;Master's degree;germany;13
germany;26;Female;Master's degree;germany;14
italy;26;Female;Master's degree;germany;14
france;26;Female;Master's degree;germany;14
germany;28;Female;Doctorate (e.g. PhD);germany;15
france;28;Female;Doctorate (e.g. PhD);germany;15
spain;28;Female;Doctorate (e.g. PhD);germany;15
italy;25;Male;NaN;germany;16
spain;25;Male;NaN;germany;16
belgium;25;Male;NaN;germany;16
germany;31;Female;Master's degree;germany;17
france;31;Female;Master's degree;germany;17
italy;31;Female;Master's degree;germany;17
germany;36;Male;Master's degree;germany;18
austria;36;Male;Master's degree;germany;18
switzerland;36;Male;Master's degree;germany;18
germany;27;Male;Master's degree;germany;19
switzerland;27;Male;Master's degree;germany;19
ukraine;27;Male;Master's degree;germany;19
germany;33;Male;Doctorate (e.g. PhD);germany;20
france;33;Male;Doctorate (e.g. PhD);germany;20
italy;33;Male;Doctorate (e.g. PhD);germany;20
france;26;Male;Bachelor's degree;usa;21
germany;26;Male;Bachelor's degree;usa;21
denmark;26;Male;Bachelor's degree;usa;21
france;44;Female;Doctorate (e.g. PhD);sweden;22
italy;44;Female;Doctorate (e.g. PhD);sweden;22
spain;44;Female;Doctorate (e.g. PhD);sweden;22
germany;26;Male;Bachelor's degree;germany;23
france;26;Male;Bachelor's degree;germany;23
poland;26;Male;Bachelor's degree;germany;23
germany;27;Male;Bachelor's degree;nan;24
germany;23;Male;Bachelor's degree;germany;25
france;23;Male;Bachelor's degree;germany;25
denmark;23;Male;Bachelor's degree;germany;25
germany;22;Male;Bachelor's degree;germany;26
france;22;Male;Bachelor's degree;germany;26
spain;22;Male;Bachelor's degree;germany;26
germany;25;Male;Bachelor's degree;germany;27
spain;25;Male;Bachelor's degree;germany;27
united kingdom;25;Male;Bachelor's degree;germany;27
austria;27;Male;Master's degree;germany;28
iceland;27;Male;Master's degree;germany;28
faroerislands;27;Male;Master's degree;germany;28
norway;30;Male;Bachelor's degree;usa;29
denmark;30;Male;Bachelor's degree;usa;29
sweden;30;Male;Bachelor's degree;usa;29
netherlands;28;Male;Master's degree;germany;30
austria;28;Male;Master's degree;germany;30
italy;28;Male;Master's degree;germany;30
france;38;Female;Doctorate (e.g. PhD);greece;31
greece;38;Female;Doctorate (e.g. PhD);greece;31
