european_landmarks;p_age;p_gender;p_education;p_country;p_id
eiffel tower;26;Male;Bachelor's degree;germany;0
brandenburg gate;26;Male;Bachelor's degree;germany;0
colosseum;26;Male;Bachelor's degree;germany;0
eiffel tower;44;Male;Doctorate (e.g. PhD);germany;1
towerbridge;44;Male;Doctorate (e.g. PhD);germany;1
leaning tower of pisa;44;Male;Doctorate (e.g. PhD);germany;1
eiffel tower;46;Male;Bachelor's degree;france;2
leaning tower of pisa;46;Male;Bachelor's degree;france;2
stonehenge;46;Male;Bachelor's degree;france;2
eiffel tower;28;Male;Master's degree;germany;3
brandenburg gate;28;Male;Master's degree;germany;3
london eye;28;Male;Master's degree;germany;3
eiffel tower;34;Female;Master's degree;switzerland;4
big ben;34;Female;Master's degree;switzerland;4
manneken pis;34;Female;Master's degree;switzerland;4
eiffel tower;27;Male;Bachelor's degree;germany;5
brandenburg gate;27;Male;Bachelor's degree;germany;5
neuschwanstein castle;27;Male;Bachelor's degree;germany;5
brandenburg gate;27;Male;Master's degree;germany;6
big ben;27;Male;Master's degree;germany;6
tower bridge;27;Male;Master's degree;germany;6
eiffel tower;27;Male;Master's degree;germany;7
brandenburg gate;27;Male;Master's degree;germany;7
london eye;27;Male;Master's degree;germany;7
odenwald;28;Male;High school degree or equivalent;germany;8
alps;28;Male;High school degree or equivalent;germany;8
cotedazur;28;Male;High school degree or equivalent;germany;8
brandenburg gate;29;Male;Master's degree;germany;9
colosseum;29;Male;Master's degree;germany;9
eiffel tower;29;Male;Master's degree;germany;9
zugspitze;26;Male;Master's degree;germany;10
externals;37;Male;Master's degree;germany;11
rock sea;37;Male;Master's degree;germany;11
rheinfall;37;Male;Master's degree;germany;11
eiffel tower;24;Male;Master's degree;germany;12
brandenburg gate;24;Male;Master's degree;germany;12
neuschwanstein castle;24;Male;Master's degree;germany;12
eiffel tour;26;Female;Master's degree;germany;13
colosseum;26;Female;Master's degree;germany;13
neuschwanstein castle;26;Female;Master's degree;germany;13
colosseum;26;Female;Master's degree;germany;14
neuschwanstein castle;26;Female;Master's degree;germany;14
leaning tower of pisa;26;Female;Master's degree;germany;14
eiffel tower;28;Female;Doctorate (e.g. PhD);germany;15
neuschwanstein castle;28;Female;Doctorate (e.g. PhD);germany;15
colosseum;28;Female;Doctorate (e.g. PhD);germany;15
eiffel tower;25;Male;NaN;germany;16
atomium;25;Male;NaN;germany;16
eiffel tower;31;Female;Master's degree;germany;17
tower bridge;31;Female;Master's degree;germany;17
buckingham palace;31;Female;Master's degree;germany;17
eiffel tower;36;Male;Master's degree;germany;18
rialto bridge;36;Male;Master's degree;germany;18
colosseum;36;Male;Master's degree;germany;18
eiffel tower;27;Male;Master's degree;germany;19
eiffel tower;33;Male;Doctorate (e.g. PhD);germany;20
tower bridge;33;Male;Doctorate (e.g. PhD);germany;20
brandenburg gate;33;Male;Doctorate (e.g. PhD);germany;20
eiffel tower;26;Male;Bachelor's degree;usa;21
brandenburg gate;26;Male;Bachelor's degree;usa;21
neuschwanstein castle;26;Male;Bachelor's degree;usa;21
eiffel tower;44;Female;Doctorate (e.g. PhD);sweden;22
leaning tower of pisa;44;Female;Doctorate (e.g. PhD);sweden;22
colosseum;44;Female;Doctorate (e.g. PhD);sweden;22
eiffel tower;26;Male;Bachelor's degree;germany;23
reichstag building;26;Male;Bachelor's degree;germany;23
charles bridge;26;Male;Bachelor's degree;germany;23
eiffel tower;27;Male;Bachelor's degree;nan;24
london eye;27;Male;Bachelor's degree;nan;24
cologne cathedral;27;Male;Bachelor's degree;nan;24
eiffel tower;23;Male;Bachelor's degree;germany;25
