fast_food;p_age;p_gender;p_education;p_country;p_id
french fries;26;Male;Bachelor's degree;germany;0
hamburger;26;Male;Bachelor's degree;germany;0
pizza;26;Male;Bachelor's degree;germany;0
hamburger;44;Male;Doctorate (e.g. PhD);germany;1
pizza;44;Male;Doctorate (e.g. PhD);germany;1
french fries;44;Male;Doctorate (e.g. PhD);germany;1
hamburger;46;Male;Bachelor's degree;france;2
poutine;46;Male;Bachelor's degree;france;2
hot dog;46;Male;Bachelor's degree;france;2
hamburger;28;Male;Master's degree;germany;3
french fries;28;Male;Master's degree;germany;3
pizza;28;Male;Master's degree;germany;3
french fries;34;Female;Master's degree;switzerland;4
hamburger;34;Female;Master's degree;switzerland;4
nuggets;34;Female;Master's degree;switzerland;4
hamburger;27;Male;Bachelor's degree;germany;5
sandwich;27;Male;Bachelor's degree;germany;5
pizza;27;Male;Bachelor's degree;germany;5
hamburger;27;Male;Master's degree;germany;6
french fries;27;Male;Master's degree;germany;6
kebab;27;Male;Master's degree;germany;6
hamburger;27;Male;Master's degree;germany;7
pizza;27;Male;Master's degree;germany;7
asian;27;Male;Master's degree;germany;7
citizen;28;Male;High school degree or equivalent;germany;8
pizza;28;Male;High school degree or equivalent;germany;8
chips;28;Male;High school degree or equivalent;germany;8
pizza;29;Male;Master's degree;germany;9
doner kebab;29;Male;Master's degree;germany;9
currywurst;29;Male;Master's degree;germany;9
hamburger;26;Male;Master's degree;germany;10
falafel;26;Male;Master's degree;germany;10
kebab;26;Male;Master's degree;germany;10
hamburger;37;Male;Master's degree;germany;11
pizza;37;Male;Master's degree;germany;11
bratwurst;37;Male;Master's degree;germany;11
hamburger;24;Male;Master's degree;germany;12
kebab;24;Male;Master's degree;germany;12
french fries;24;Male;Master's degree;germany;12
hamburger;26;Female;Master's degree;germany;13
pizza;26;Female;Master's degree;germany;13
kebab;26;Female;Master's degree;germany;13
french fries;26;Female;Master's degree;germany;14
hamburger;26;Female;Master's degree;germany;14
chick nuggets;26;Female;Master's degree;germany;14
hamburger;28;Female;Doctorate (e.g. PhD);germany;15
french fries;28;Female;Doctorate (e.g. PhD);germany;15
onionrings;28;Female;Doctorate (e.g. PhD);germany;15
hamburger;25;Male;NaN;germany;16
french fries;25;Male;NaN;germany;16
hamburger;31;Female;Master's degree;germany;17
pizza;31;Female;Master's degree;germany;17
sandwich;31;Female;Master's degree;germany;17
hamburger;36;Male;Master's degree;germany;18
pizza;36;Male;Master's degree;germany;18
sandwich;36;Male;Master's degree;germany;18
hamburger;27;Male;Master's degree;germany;19
pizza;27;Male;Master's degree;germany;19
hot dog;27;Male;Master's degree;germany;19
pizza;33;Male;Doctorate (e.g. PhD);germany;20
hamburger;33;Male;Doctorate (e.g. PhD);germany;20
kebab;33;Male;Doctorate (e.g. PhD);germany;20
hamburger;26;Male;Bachelor's degree;usa;21
french fries;26;Male;Bachelor's degree;usa;21
chicken sandwich;26;Male;Bachelor's degree;usa;21
hamburger;44;Female;Doctorate (e.g. PhD);sweden;22
hot dog;44;Female;Doctorate (e.g. PhD);sweden;22
pizza;44;Female;Doctorate (e.g. PhD);sweden;22
hamburger;26;Male;Bachelor's degree;germany;23
wings;26;Male;Bachelor's degree;germany;23
french fries;26;Male;Bachelor's degree;germany;23
hamburger;27;Male;Bachelor's degree;nan;24
pizza;27;Male;Bachelor's degree;nan;24
chickenwings;27;Male;Bachelor's degree;nan;24
pizza;23;Male;Bachelor's degree;germany;25
hamburger;23;Male;Bachelor's degree;germany;25
kebab;23;Male;Bachelor's degree;germany;25
hamburger;22;Male;Bachelor's degree;germany;26
pizza;22;Male;Bachelor's degree;germany;26
taco;22;Male;Bachelor's degree;germany;26
hamburger;25;Male;Bachelor's degree;germany;27
kebab;25;Male;Bachelor's degree;germany;27
sandwich;25;Male;Bachelor's degree;germany;27
hamburger;27;Male;Master's degree;germany;28
french fries;27;Male;Master's degree;germany;28
chickenwings;27;Male;Master's degree;germany;28
hamburger;30;Male;Bachelor's degree;usa;29
taco;30;Male;Bachelor's degree;usa;29
sandwich;30;Male;Bachelor's degree;usa;29
hamburger;28;Male;Master's degree;germany;30
sandwich;28;Male;Master's degree;germany;30
pizza;38;Female;Doctorate (e.g. PhD);greece;31
hamburger;38;Female;Doctorate (e.g. PhD);greece;31
hot dog;38;Female;Doctorate (e.g. PhD);greece;31
hamburger;28;Male;Master's degree;germany;32
french fries;28;Male;Master's degree;germany;32
wrap;28;Male;Master's degree;germany;32
hamburger;26;Male;Bachelor's degree;germany;33
hot dog;26;Male;Bachelor's degree;germany;33
currywurst;26;Male;Bachelor's degree;germany;33
cheeseburger;19;Male;High school degree or equivalent;germany;34
french fries;19;Male;High school degree or equivalent;germany;34
chick nuggets;19;Male;High school degree or equivalent;germany;34
hamburger;25;Female;Bachelor's degree;germany;35
hot dog;25;Female;Bachelor's degree;germany;35
pizza;25;Female;Bachelor's degree;germany;35
hamburger;24;Female;Master's degree;germany;36
pizza;24;Female;Master's degree;germany;36
sandwich;24;Female;Master's degree;germany;36
hamburger;25;Male;Bachelor's degree;germany;37
sushi;25;Male;Bachelor's degree;germany;37
french fries;25;Male;Bachelor's degree;germany;37
hamburger;64;Male;Doctorate (e.g. PhD);austria;38
currywurst;64;Male;Doctorate (e.g. PhD);austria;38
kebab;64;Male;Doctorate (e.g. PhD);austria;38
hamburger;24;Male;Bachelor's degree;germany;39
pizza;24;Male;Bachelor's degree;germany;39
french fries;24;Male;Bachelor's degree;germany;39
hamburger;31;Male;Bachelor's degree;germany;40
kebab;31;Male;Bachelor's degree;germany;40
pizza;31;Male;Bachelor's degree;germany;40
pizza;25;Female;Bachelor's degree;germany;41
hamburger;25;Female;Bachelor's degree;germany;41
french fries;25;Female;Bachelor's degree;germany;41
hamburger;28;Female;Bachelor's degree;germany;42
pizza;28;Female;Bachelor's degree;germany;42
french fries;28;Female;Bachelor's degree;germany;42
hamburger;37;Female;Master's degree;germany;43
pizza;37;Female;Master's degree;germany;43
kebab;37;Female;Master's degree;germany;43
sandwich;50;Female;High school degree or equivalent;germany;44
hamburger;50;Female;High school degree or equivalent;germany;44
kebab;50;Female;High school degree or equivalent;germany;44
pizza;28;Female;High school degree or equivalent;germany;45
french fries;28;Female;High school degree or equivalent;germany;45
hamburger;28;Female;High school degree or equivalent;germany;45
hamburger;31;Male;Bachelor's degree;germany;46
pizza;31;Male;Bachelor's degree;germany;46
kebab;31;Male;Bachelor's degree;germany;46
