furniture;p_age;p_gender;p_education;p_country;p_id
chair;26;Male;Bachelor's degree;germany;0
table;26;Male;Bachelor's degree;germany;0
lamp;26;Male;Bachelor's degree;germany;0
chair;44;Male;Doctorate (e.g. PhD);germany;1
table;44;Male;Doctorate (e.g. PhD);germany;1
sofa;44;Male;Doctorate (e.g. PhD);germany;1
table;46;Male;Bachelor's degree;france;2
cupboard;46;Male;Bachelor's degree;france;2
chair;46;Male;Bachelor's degree;france;2
bed;28;Male;Master's degree;germany;3
sofa;28;Male;Master's degree;germany;3
table;28;Male;Master's degree;germany;3
chair;34;Female;Master's degree;switzerland;4
table;34;Female;Master's degree;switzerland;4
cabinet;34;Female;Master's degree;switzerland;4
chair;27;Male;Bachelor's degree;germany;5
sofa;27;Male;Bachelor's degree;germany;5
table;27;Male;Bachelor's degree;germany;5
couch;27;Male;Master's degree;germany;6
chair;27;Male;Master's degree;germany;6
wardrobe;27;Male;Master's degree;germany;6
chair;27;Male;Master's degree;germany;7
table;27;Male;Master's degree;germany;7
cabinet;27;Male;Master's degree;germany;7
couch;28;Male;High school degree or equivalent;germany;8
dining table;28;Male;High school degree or equivalent;germany;8
bed;28;Male;High school degree or equivalent;germany;8
chair;29;Male;Master's degree;germany;9
table;29;Male;Master's degree;germany;9
bed;29;Male;Master's degree;germany;9
couch;26;Male;Master's degree;germany;10
table;26;Male;Master's degree;germany;10
chair;26;Male;Master's degree;germany;10
chair;37;Male;Master's degree;germany;11
bed;37;Male;Master's degree;germany;11
table;37;Male;Master's degree;germany;11
chair;24;Male;Master's degree;germany;12
table;24;Male;Master's degree;germany;12
wardrobe;24;Male;Master's degree;germany;12
couch;26;Female;Master's degree;germany;13
bed;26;Female;Master's degree;germany;13
table;26;Female;Master's degree;germany;13
sofa;26;Female;Master's degree;germany;14
chair;26;Female;Master's degree;germany;14
bed;26;Female;Master's degree;germany;14
chair;28;Female;Doctorate (e.g. PhD);germany;15
table;28;Female;Doctorate (e.g. PhD);germany;15
couch;28;Female;Doctorate (e.g. PhD);germany;15
chair;25;Male;NaN;germany;16
table;25;Male;NaN;germany;16
bed;25;Male;NaN;germany;16
chair;31;Female;Master's degree;germany;17
table;31;Female;Master's degree;germany;17
wardrobe;31;Female;Master's degree;germany;17
table;36;Male;Master's degree;germany;18
chair;36;Male;Master's degree;germany;18
cupboard;36;Male;Master's degree;germany;18
table;27;Male;Master's degree;germany;19
chair;33;Male;Doctorate (e.g. PhD);germany;20
desk;33;Male;Doctorate (e.g. PhD);germany;20
couch;33;Male;Doctorate (e.g. PhD);germany;20
chair;26;Male;Bachelor's degree;usa;21
desk;26;Male;Bachelor's degree;usa;21
endtable;26;Male;Bachelor's degree;usa;21
chair;44;Female;Doctorate (e.g. PhD);sweden;22
table;44;Female;Doctorate (e.g. PhD);sweden;22
bed;44;Female;Doctorate (e.g. PhD);sweden;22
chair;26;Male;Bachelor's degree;germany;23
table;26;Male;Bachelor's degree;germany;23
cabinet;26;Male;Bachelor's degree;germany;23
sideboard;27;Male;Bachelor's degree;nan;24
writing table;27;Male;Bachelor's degree;nan;24
cabinet;27;Male;Bachelor's degree;nan;24
couch;23;Male;Bachelor's degree;germany;25
desk;23;Male;Bachelor's degree;germany;25
table;23;Male;Bachelor's degree;germany;25
bed;22;Male;Bachelor's degree;germany;26
shelf;22;Male;Bachelor's degree;germany;26
table;22;Male;Bachelor's degree;germany;26
couch;25;Male;Bachelor's degree;germany;27
table;25;Male;Bachelor's degree;germany;27
wardrobe;25;Male;Bachelor's degree;germany;27
bed;27;Male;Master's degree;germany;28
chair;27;Male;Master's degree;germany;28
table;27;Male;Master's degree;germany;28
chair;30;Male;Bachelor's degree;usa;29
bed;30;Male;Bachelor's degree;usa;29
bench;30;Male;Bachelor's degree;usa;29
chair;28;Male;Master's degree;germany;30
table;28;Male;Master's degree;germany;30
bed;28;Male;Master's degree;germany;30
table;38;Female;Doctorate (e.g. PhD);greece;31
chair;38;Female;Doctorate (e.g. PhD);greece;31
desk;38;Female;Doctorate (e.g. PhD);greece;31
table;28;Male;Master's degree;germany;32
chair;28;Male;Master's degree;germany;32
cupboard;28;Male;Master's degree;germany;32
chair;26;Male;Bachelor's degree;germany;33
table;26;Male;Bachelor's degree;germany;33
lamp;26;Male;Bachelor's degree;germany;33
chair;19;Male;High school degree or equivalent;germany;34
table;19;Male;High school degree or equivalent;germany;34
cabinet;19;Male;High school degree or equivalent;germany;34
chair;25;Female;Bachelor's degree;germany;35
shelf;25;Female;Bachelor's degree;germany;35
table;25;Female;Bachelor's degree;germany;35
desk;24;Female;Master's degree;germany;36
chair;24;Female;Master's degree;germany;36
wardrobe;24;Female;Master's degree;germany;36
desk;25;Male;Bachelor's degree;germany;37
chair;25;Male;Bachelor's degree;germany;37
cupboard;25;Male;Bachelor's degree;germany;37
chair;64;Male;Doctorate (e.g. PhD);austria;38
tablet;64;Male;Doctorate (e.g. PhD);austria;38
cupboard;64;Male;Doctorate (e.g. PhD);austria;38
couch;24;Male;Bachelor's degree;germany;39
table;24;Male;Bachelor's degree;germany;39
chair;24;Male;Bachelor's degree;germany;39
chair;31;Male;Bachelor's degree;germany;40
table;31;Male;Bachelor's degree;germany;40
cabinet;31;Male;Bachelor's degree;germany;40
couch;25;Female;Bachelor's degree;germany;41
bed;25;Female;Bachelor's degree;germany;41
table;25;Female;Bachelor's degree;germany;41
coffeetable;28;Female;Bachelor's degree;germany;42
ottoman;28;Female;Bachelor's degree;germany;42
couch;28;Female;Bachelor's degree;germany;42
chair;37;Female;Master's degree;germany;43
sofa;37;Female;Master's degree;germany;43
table;37;Female;Master's degree;germany;43
couch;50;Female;High school degree or equivalent;germany;44
table;50;Female;High school degree or equivalent;germany;44
sideboard;50;Female;High school degree or equivalent;germany;44
chair;28;Female;High school degree or equivalent;germany;45
table;28;Female;High school degree or equivalent;germany;45
couch;28;Female;High school degree or equivalent;germany;45
table;31;Male;Bachelor's degree;germany;46
chair;31;Male;Bachelor's degree;germany;46
shelf;31;Male;Bachelor's degree;germany;46
table;21;Female;High school degree or equivalent;germany;47
bed;21;Female;High school degree or equivalent;germany;47
chair;21;Female;High school degree or equivalent;germany;47
desk;23;Female;Bachelor's degree;germany;48
chair;23;Female;Bachelor's degree;germany;48
wardrobe;23;Female;Bachelor's degree;germany;48
sofa;36;Male;Bachelor's degree;india;49
bed;36;Male;Bachelor's degree;india;49
chair;36;Male;Bachelor's degree;india;49
chair;28;Female;Master's degree;romania;50
desk;28;Female;Master's degree;romania;50
wardrobe;28;Female;Master's degree;romania;50
bed;19;Female;High school degree or equivalent;germany;51
table;19;Female;High school degree or equivalent;germany;51
closet;19;Female;High school degree or equivalent;germany;51
bed;19;Female;High school degree or equivalent;germany;52
couch;19;Female;High school degree or equivalent;germany;52
chair;19;Female;High school degree or equivalent;germany;52
chair;25;Male;Bachelor's degree;germany;53
desk;25;Male;Bachelor's degree;germany;53
wardrobe;25;Male;Bachelor's degree;germany;53
desk;34;Female;Master's degree;france;54
bed;34;Female;Master's degree;france;54
chair;34;Female;Master's degree;france;54
sofa;20;Female;High school degree or equivalent;germany;55
closet;20;Female;High school degree or equivalent;germany;55
bed;20;Female;High school degree or equivalent;germany;55
chair;26;Female;Master's degree;france;56
table;26;Female;Master's degree;france;56
fridge;26;Female;Master's degree;france;56
chair;29;Prefer not to say;Master's degree;germany;57
table;29;Prefer not to say;Master's degree;germany;57
