lakes;p_age;p_gender;p_education;p_country;p_id
bodensee;26;Male;Bachelor's degree;germany;0
lake victoria;26;Male;Bachelor's degree;germany;0
lake tahoe;26;Male;Bachelor's degree;germany;0
lake geneva;44;Male;Doctorate (e.g. PhD);germany;1
lake tahoe;44;Male;Doctorate (e.g. PhD);germany;1
lake eerie;44;Male;Doctorate (e.g. PhD);germany;1
erie;46;Male;Bachelor's degree;france;2
léman;46;Male;Bachelor's degree;france;2
lake garda;28;Male;Master's degree;germany;3
lake michigan;28;Male;Master's degree;germany;3
bodensee;28;Male;Master's degree;germany;3
geneva lake baikal lake;34;Female;Master's degree;switzerland;4
baikal lake;34;Female;Master's degree;switzerland;4
lugano lake;34;Female;Master's degree;switzerland;4
bodensee;27;Male;Bachelor's degree;germany;5
garda lake;27;Male;Master's degree;germany;6
tegernsee;27;Male;Master's degree;germany;6
bodensee;27;Male;Master's degree;germany;6
Lake Constance;27;Male;Master's degree;germany;7
lake garda;27;Male;Master's degree;germany;7
lake michigan;27;Male;Master's degree;germany;7
bodensee;28;Male;High school degree or equivalent;germany;8
lake garda;28;Male;High school degree or equivalent;germany;8
tegernsee;28;Male;High school degree or equivalent;germany;8
lake constance;29;Male;Master's degree;germany;9
lake garda;29;Male;Master's degree;germany;9
lake baikal;29;Male;Master's degree;germany;9
bodensee;26;Male;Master's degree;germany;10
lake michigan;26;Male;Master's degree;germany;10
bodensee;37;Male;Master's degree;germany;11
steinhuder meer;37;Male;Master's degree;germany;11
chiemsee;37;Male;Master's degree;germany;11
bodensee;24;Male;Master's degree;germany;12
lake balaton;24;Male;Master's degree;germany;12
bodensee;26;Female;Master's degree;germany;13
lake garda;26;Female;Master's degree;germany;13
eibsee;26;Female;Master's degree;germany;13
lake michigan;26;Female;Master's degree;germany;14
lake constance;26;Female;Master's degree;germany;14
lake como;26;Female;Master's degree;germany;14
bodensee;28;Female;Doctorate (e.g. PhD);germany;15
chiemsee;28;Female;Doctorate (e.g. PhD);germany;15
walchensee;28;Female;Doctorate (e.g. PhD);germany;15
chiemsee;25;Male;NaN;germany;16
bodensee;25;Male;NaN;germany;16
lake michigan;31;Female;Master's degree;germany;17
lake maggiore;31;Female;Master's degree;germany;17
bodensee;31;Female;Master's degree;germany;17
lake constance;36;Male;Master's degree;germany;18
lake maggiore;36;Male;Master's degree;germany;18
lake erie;36;Male;Master's degree;germany;18
bodensee;27;Male;Master's degree;germany;19
lake geneva;33;Male;Doctorate (e.g. PhD);germany;20
lake baikal;33;Male;Doctorate (e.g. PhD);germany;20
lake victoria;33;Male;Doctorate (e.g. PhD);germany;20
lake huron;26;Male;Bachelor's degree;usa;21
keuka lake;26;Male;Bachelor's degree;usa;21
seneca lake;26;Male;Bachelor's degree;usa;21
vättern;44;Female;Doctorate (e.g. PhD);sweden;22
vänern;44;Female;Doctorate (e.g. PhD);sweden;22
lake garda;44;Female;Doctorate (e.g. PhD);sweden;22
mummelsee;26;Male;Bachelor's degree;germany;23
bodensee;26;Male;Bachelor's degree;germany;23
lake zurich;26;Male;Bachelor's degree;germany;23
bodensee;27;Male;Bachelor's degree;nan;24
lake feeling;27;Male;Bachelor's degree;nan;24
lake victoria;27;Male;Bachelor's degree;nan;24
lake michigan;23;Male;Bachelor's degree;germany;25
lake maggiore;23;Male;Bachelor's degree;germany;25
chiemsee;23;Male;Bachelor's degree;germany;25
bodensee;22;Male;Bachelor's degree;germany;26
lake balaton;22;Male;Bachelor's degree;germany;26
lake maggiore;22;Male;Bachelor's degree;germany;26
achensee;25;Male;Bachelor's degree;germany;27
chiemsee;25;Male;Bachelor's degree;germany;27
langener waldsee;25;Male;Bachelor's degree;germany;27
achensee;27;Male;Master's degree;germany;28
ural lake;27;Male;Master's degree;germany;28
lake michigan;27;Male;Master's degree;germany;28
lake superior;30;Male;Bachelor's degree;usa;29
lake michigan;30;Male;Bachelor's degree;usa;29
bodensee;30;Male;Bachelor's degree;usa;29
bodensee;28;Male;Master's degree;germany;30
chiemsee;28;Male;Master's degree;germany;30
