mountains;p_age;p_gender;p_education;p_country;p_id
k2;26;Male;Bachelor's degree;germany;0
zugspitze;26;Male;Bachelor's degree;germany;0
brocken;26;Male;Bachelor's degree;germany;0
mount everest;44;Male;Doctorate (e.g. PhD);germany;1
matterhorn;44;Male;Doctorate (e.g. PhD);germany;1
nanga parbat;44;Male;Doctorate (e.g. PhD);germany;1
mount kilimanjaro;46;Male;Bachelor's degree;france;2
mount everest;46;Male;Bachelor's degree;france;2
mont blanc;46;Male;Bachelor's degree;france;2
k2;28;Male;Master's degree;germany;3
mount everest;28;Male;Master's degree;germany;3
zugspitze;28;Male;Master's degree;germany;3
alps;34;Female;Master's degree;switzerland;4
jura;34;Female;Master's degree;switzerland;4
carpathian mountains;34;Female;Master's degree;switzerland;4
mount everest;27;Male;Bachelor's degree;germany;5
zugspitze;27;Male;Bachelor's degree;germany;5
mount rushmore;27;Male;Bachelor's degree;germany;5
mont blanc;27;Male;Master's degree;germany;6
mount everest;27;Male;Master's degree;germany;6
k2;27;Male;Master's degree;germany;6
weißer stein (vogelsberg);27;Male;Master's degree;germany;7
sandberg;27;Male;Master's degree;germany;7
k2;27;Male;Master's degree;germany;7
mount everest;28;Male;High school degree or equivalent;germany;8
königstuhl;28;Male;High school degree or equivalent;germany;8
grossglockner;28;Male;High school degree or equivalent;germany;8
zugspitze;29;Male;Master's degree;germany;9
mount everest;29;Male;Master's degree;germany;9
mount kilimanjaro;29;Male;Master's degree;germany;9
zugspitze;26;Male;Master's degree;germany;10
matterhorn;26;Male;Master's degree;germany;10
mount everest;26;Male;Master's degree;germany;10
barebones;37;Male;Master's degree;germany;11
brocken;37;Male;Master's degree;germany;11
mount kilimanjaro;37;Male;Master's degree;germany;11
zugspitze;24;Male;Master's degree;germany;12
mont blanc;24;Male;Master's degree;germany;12
k2;24;Male;Master's degree;germany;12
zugspitze;26;Female;Master's degree;germany;13
mont blanc;26;Female;Master's degree;germany;13
mount fuji;26;Female;Master's degree;germany;13
mount everest;26;Female;Master's degree;germany;14
mount kilimanjaro;26;Female;Master's degree;germany;14
mont blanc;26;Female;Master's degree;germany;14
zugspitze;28;Female;Doctorate (e.g. PhD);germany;15
dolomites;28;Female;Doctorate (e.g. PhD);germany;15
karwendel;28;Female;Doctorate (e.g. PhD);germany;15
mount everest;25;Male;NaN;germany;16
mont blanc;25;Male;NaN;germany;16
k2;25;Male;NaN;germany;16
mount everest;31;Female;Master's degree;germany;17
zugspitze;31;Female;Master's degree;germany;17
feldberg (black forest);31;Female;Master's degree;germany;17
zugspitze;36;Male;Master's degree;germany;18
piz buin;36;Male;Master's degree;germany;18
k2;36;Male;Master's degree;germany;18
matterhorn;27;Male;Master's degree;germany;19
mountkilimanjaro;33;Male;Doctorate (e.g. PhD);germany;20
mount everest;33;Male;Doctorate (e.g. PhD);germany;20
brocken;33;Male;Doctorate (e.g. PhD);germany;20
mount everest;26;Male;Bachelor's degree;usa;21
mount kilimanjaro;26;Male;Bachelor's degree;usa;21
appalachian mountains;26;Male;Bachelor's degree;usa;21
mount everest;44;Female;Doctorate (e.g. PhD);sweden;22
kebnekaise;44;Female;Doctorate (e.g. PhD);sweden;22
mont blanc;44;Female;Doctorate (e.g. PhD);sweden;22
mont everest;26;Male;Bachelor's degree;germany;23
zugspitze;26;Male;Bachelor's degree;germany;23
matterhorn;26;Male;Bachelor's degree;germany;23
mount everest;27;Male;Bachelor's degree;nan;24
feldberg (black forest);27;Male;Bachelor's degree;nan;24
zugspitze;27;Male;Bachelor's degree;nan;24
feldberg (black forest);23;Male;Bachelor's degree;germany;25
mount everest;23;Male;Bachelor's degree;germany;25
k2;23;Male;Bachelor's degree;germany;25
mount everest;22;Male;Bachelor's degree;germany;26
zugspitze;22;Male;Bachelor's degree;germany;26
mount kilimanjaro;22;Male;Bachelor's degree;germany;26
feldberg (black forest);25;Male;Bachelor's degree;germany;27
k2;25;Male;Bachelor's degree;germany;27
mount everest;25;Male;Bachelor's degree;germany;27
nockspitze;27;Male;Master's degree;germany;28
hafelekar;27;Male;Master's degree;germany;28
sizzle;27;Male;Master's degree;germany;28
mount kilamanjaro;30;Male;Bachelor's degree;usa;29
mount everest;30;Male;Bachelor's degree;usa;29
zugspitze;28;Male;Master's degree;germany;30
mount everest;28;Male;Master's degree;germany;30
matterhorn;28;Male;Master's degree;germany;30
mount everest;38;Female;Doctorate (e.g. PhD);greece;31
mount olympus;38;Female;Doctorate (e.g. PhD);greece;31
mount kilimanjaro;38;Female;Doctorate (e.g. PhD);greece;31
k2;28;Male;Master's degree;germany;32
mount everest;28;Male;Master's degree;germany;32
zugspitze;28;Male;Master's degree;germany;32
k2;26;Male;Bachelor's degree;germany;33
alps;26;Male;Bachelor's degree;germany;33
matterhorn;26;Male;Bachelor's degree;germany;33
zugspitze;19;Male;High school degree or equivalent;germany;34
mount wilhelm;19;Male;High school degree or equivalent;germany;34
k2;19;Male;High school degree or equivalent;germany;34
zugspitze;25;Female;Bachelor's degree;germany;35
mont blanc;25;Female;Bachelor's degree;germany;35
brocken;25;Female;Bachelor's degree;germany;35
k2;24;Female;Master's degree;germany;36
mount everest;24;Female;Master's degree;germany;36
zugspitze;24;Female;Master's degree;germany;36
mount everest;25;Male;Bachelor's degree;germany;37
zugspitze;25;Male;Bachelor's degree;germany;37
chimborazo;25;Male;Bachelor's degree;germany;37
mount everest;64;Male;Doctorate (e.g. PhD);austria;38
zugspitze;64;Male;Doctorate (e.g. PhD);austria;38
mount kilimanjaro;64;Male;Doctorate (e.g. PhD);austria;38
mounteverest;24;Male;Bachelor's degree;germany;39
k2;24;Male;Bachelor's degree;germany;39
zugspitze;24;Male;Bachelor's degree;germany;39
mount everest;31;Male;Bachelor's degree;germany;40
feldberg (black forest);31;Male;Bachelor's degree;germany;40
k2;31;Male;Bachelor's degree;germany;40
mount everest;25;Female;Bachelor's degree;germany;41
himalayas;25;Female;Bachelor's degree;germany;41
mont blanc;25;Female;Bachelor's degree;germany;41
mount everest;28;Female;Bachelor's degree;germany;42
zugspitze;28;Female;Bachelor's degree;germany;42
feldberg (black forest);28;Female;Bachelor's degree;germany;42
mount everest;37;Female;Master's degree;germany;43
zugspitze;37;Female;Master's degree;germany;43
uluru;37;Female;Master's degree;germany;43
k2;50;Female;High school degree or equivalent;germany;44
machu picchu;50;Female;High school degree or equivalent;germany;44
k2;28;Female;High school degree or equivalent;germany;45
matterhorn;28;Female;High school degree or equivalent;germany;45
mont blanc;28;Female;High school degree or equivalent;germany;45
mount everest;31;Male;Bachelor's degree;germany;46
mont blanc;31;Male;Bachelor's degree;germany;46
zugspitze;21;Female;High school degree or equivalent;germany;47
mount everest;21;Female;High school degree or equivalent;germany;47
mount kilimanjaro;21;Female;High school degree or equivalent;germany;47
mount everest;23;Female;Bachelor's degree;germany;48
