vegetables;p_age;p_gender;p_education;p_country;p_id
peas;26;Male;Bachelor's degree;germany;0
carrot;26;Male;Bachelor's degree;germany;0
tomato;26;Male;Bachelor's degree;germany;0
cucumber;44;Male;Doctorate (e.g. PhD);germany;1
tomato;44;Male;Doctorate (e.g. PhD);germany;1
zucchini;44;Male;Doctorate (e.g. PhD);germany;1
leek;46;Male;Bachelor's degree;france;2
cabbage;46;Male;Bachelor's degree;france;2
potato;46;Male;Bachelor's degree;france;2
zucchini;28;Male;Master's degree;germany;3
eggplant;28;Male;Master's degree;germany;3
pepper;28;Male;Master's degree;germany;3
bell pepper;34;Female;Master's degree;switzerland;4
eggplant;34;Female;Master's degree;switzerland;4
tomato;34;Female;Master's degree;switzerland;4
zucchini;27;Male;Bachelor's degree;germany;5
eggplant;27;Male;Bachelor's degree;germany;5
carrot;27;Male;Bachelor's degree;germany;5
cucumber;27;Male;Master's degree;germany;6
tomato;27;Male;Master's degree;germany;6
grapes;27;Male;Master's degree;germany;6
cucumber;27;Male;Master's degree;germany;7
paprika;27;Male;Master's degree;germany;7
radishes;27;Male;Master's degree;germany;7
potato;28;Male;High school degree or equivalent;germany;8
carrott;28;Male;High school degree or equivalent;germany;8
bean;28;Male;High school degree or equivalent;germany;8
tomato;29;Male;Master's degree;germany;9
potato;29;Male;Master's degree;germany;9
carrot;29;Male;Master's degree;germany;9
carrot;26;Male;Master's degree;germany;10
cucumber;37;Male;Master's degree;germany;11
spinach;37;Male;Master's degree;germany;11
kale;37;Male;Master's degree;germany;11
cucumber;24;Male;Master's degree;germany;12
pepper;24;Male;Master's degree;germany;12
tomato;24;Male;Master's degree;germany;12
bell pepper;26;Female;Master's degree;germany;13
eggplant;26;Female;Master's degree;germany;13
carrot;26;Female;Master's degree;germany;13
cucumber;26;Female;Master's degree;germany;14
pepper;26;Female;Master's degree;germany;14
carrot;26;Female;Master's degree;germany;14
cucumber;28;Female;Doctorate (e.g. PhD);germany;15
tomato;28;Female;Doctorate (e.g. PhD);germany;15
asparagus;28;Female;Doctorate (e.g. PhD);germany;15
bean;25;Male;NaN;germany;16
cucumber;31;Female;Master's degree;germany;17
carrot;31;Female;Master's degree;germany;17
bell pepper;31;Female;Master's degree;germany;17
cucumber;36;Male;Master's degree;germany;18
carrot;36;Male;Master's degree;germany;18
salad;36;Male;Master's degree;germany;18
potato;27;Male;Master's degree;germany;19
carrot;33;Male;Doctorate (e.g. PhD);germany;20
onion;33;Male;Doctorate (e.g. PhD);germany;20
pumpkin;33;Male;Doctorate (e.g. PhD);germany;20
carrot;26;Male;Bachelor's degree;usa;21
celery;26;Male;Bachelor's degree;usa;21
turnip;26;Male;Bachelor's degree;usa;21
cucumber;44;Female;Doctorate (e.g. PhD);sweden;22
pepper;44;Female;Doctorate (e.g. PhD);sweden;22
carrot;44;Female;Doctorate (e.g. PhD);sweden;22
broccoli;26;Male;Bachelor's degree;germany;23
mushrooms;26;Male;Bachelor's degree;germany;23
carrot;26;Male;Bachelor's degree;germany;23
