european_capital_cities;p_age;p_gender;p_education;p_country;p_id
berlin;26;Male;Bachelor's degree;germany;0
paris;26;Male;Bachelor's degree;germany;0
london;26;Male;Bachelor's degree;germany;0
amsterdam;44;Male;Doctorate (e.g. PhD);germany;1
berlin;44;Male;Doctorate (e.g. PhD);germany;1
rome;44;Male;Doctorate (e.g. PhD);germany;1
paris;46;Male;Bachelor's degree;france;2
london;46;Male;Bachelor's degree;france;2
madrid;46;Male;Bachelor's degree;france;2
berlin;28;Male;Master's degree;germany;3
paris;28;Male;Master's degree;germany;3
madrid;28;Male;Master's degree;germany;3
brussels;34;Female;Master's degree;switzerland;4
paris;34;Female;Master's degree;switzerland;4
berlin;34;Female;Master's degree;switzerland;4
berlin;27;Male;Bachelor's degree;germany;5
amsterdam;27;Male;Bachelor's degree;germany;5
paris;27;Male;Bachelor's degree;germany;5
brussels;27;Male;Master's degree;germany;6
london;27;Male;Master's degree;germany;6
berlin;27;Male;Master's degree;germany;6
rome;27;Male;Master's degree;germany;7
brussels;27;Male;Master's degree;germany;7
berlin;27;Male;Master's degree;germany;7
berlin;28;Male;High school degree or equivalent;germany;8
paris;28;Male;High school degree or equivalent;germany;8
london;28;Male;High school degree or equivalent;germany;8
rome;29;Male;Master's degree;germany;9
madrid;29;Male;Master's degree;germany;9
london;29;Male;Master's degree;germany;9
berlin;26;Male;Master's degree;germany;10
brussels;26;Male;Master's degree;germany;10
paris;26;Male;Master's degree;germany;10
berlin;37;Male;Master's degree;germany;11
paris;37;Male;Master's degree;germany;11
rome;37;Male;Master's degree;germany;11
paris;24;Male;Master's degree;germany;12
berlin;24;Male;Master's degree;germany;12
stockholm;24;Male;Master's degree;germany;12
berlin;26;Female;Master's degree;germany;13
paris;26;Female;Master's degree;germany;13
brussels;26;Female;Master's degree;germany;13
rome;26;Female;Master's degree;germany;14
berlin;26;Female;Master's degree;germany;14
amsterdam;26;Female;Master's degree;germany;14
berlin;28;Female;Doctorate (e.g. PhD);germany;15
rome;28;Female;Doctorate (e.g. PhD);germany;15
london;28;Female;Doctorate (e.g. PhD);germany;15
brussels;25;Male;NaN;germany;16
berlin;25;Male;NaN;germany;16
copenhagen;25;Male;NaN;germany;16
paris;31;Female;Master's degree;germany;17
berlin;31;Female;Master's degree;germany;17
london;31;Female;Master's degree;germany;17
vienna;36;Male;Master's degree;germany;18
berlin;36;Male;Master's degree;germany;18
london;36;Male;Master's degree;germany;18
berlin;27;Male;Master's degree;germany;19
paris;27;Male;Master's degree;germany;19
paris;33;Male;Doctorate (e.g. PhD);germany;20
london;33;Male;Doctorate (e.g. PhD);germany;20
berlin;33;Male;Doctorate (e.g. PhD);germany;20
berlin;26;Male;Bachelor's degree;usa;21
london;26;Male;Bachelor's degree;usa;21
rome;26;Male;Bachelor's degree;usa;21
paris;44;Female;Doctorate (e.g. PhD);sweden;22
rome;44;Female;Doctorate (e.g. PhD);sweden;22
stockholm;44;Female;Doctorate (e.g. PhD);sweden;22
berlin;26;Male;Bachelor's degree;germany;23
paris;26;Male;Bachelor's degree;germany;23
brussels;26;Male;Bachelor's degree;germany;23
paris;27;Male;Bachelor's degree;nan;24
london;27;Male;Bachelor's degree;nan;24
madrid;27;Male;Bachelor's degree;nan;24
london;23;Male;Bachelor's degree;germany;25
madrid;23;Male;Bachelor's degree;germany;25
copenhagen;23;Male;Bachelor's degree;germany;25
paris;22;Male;Bachelor's degree;germany;26
rome;22;Male;Bachelor's degree;germany;26
madrid;22;Male;Bachelor's degree;germany;26
berlin;25;Male;Bachelor's degree;germany;27
london;25;Male;Bachelor's degree;germany;27
reykjavik;25;Male;Bachelor's degree;germany;27
vienna;27;Male;Master's degree;germany;28
torshavn;27;Male;Master's degree;germany;28
valetta;27;Male;Master's degree;germany;28
berlin;30;Male;Bachelor's degree;usa;29
madrid;30;Male;Bachelor's degree;usa;29
paris;30;Male;Bachelor's degree;usa;29
madrid;28;Male;Master's degree;germany;30
berlin;28;Male;Master's degree;germany;30
paris;28;Male;Master's degree;germany;30
paris;38;Female;Doctorate (e.g. PhD);greece;31
berlin;38;Female;Doctorate (e.g. PhD);greece;31
london;38;Female;Doctorate (e.g. PhD);greece;31
rome;28;Male;Master's degree;germany;32
berlin;28;Male;Master's degree;germany;32
paris;28;Male;Master's degree;germany;32
paris;26;Male;Bachelor's degree;germany;33
berlin;26;Male;Bachelor's degree;germany;33
rome;26;Male;Bachelor's degree;germany;33
berlin;19;Male;High school degree or equivalent;germany;34
paris;19;Male;High school degree or equivalent;germany;34
london;19;Male;High school degree or equivalent;germany;34
warsaw;25;Female;Bachelor's degree;germany;35
prague;25;Female;Bachelor's degree;germany;35
lisbon;25;Female;Bachelor's degree;germany;35
paris;24;Female;Master's degree;germany;36
london;24;Female;Master's degree;germany;36
berlin;24;Female;Master's degree;germany;36
berlin;25;Male;Bachelor's degree;germany;37
rome;25;Male;Bachelor's degree;germany;37
paris;25;Male;Bachelor's degree;germany;37
paris;64;Male;Doctorate (e.g. PhD);austria;38
london;64;Male;Doctorate (e.g. PhD);austria;38
berlin;64;Male;Doctorate (e.g. PhD);austria;38
berlin;24;Male;Bachelor's degree;germany;39
paris;24;Male;Bachelor's degree;germany;39
rome;24;Male;Bachelor's degree;germany;39
berlin;31;Male;Bachelor's degree;germany;40
warsaw;31;Male;Bachelor's degree;germany;40
kiev;31;Male;Bachelor's degree;germany;40
berlin;25;Female;Bachelor's degree;germany;41
vienna;25;Female;Bachelor's degree;germany;41
paris;25;Female;Bachelor's degree;germany;41
milan;28;Female;Bachelor's degree;germany;42
london;28;Female;Bachelor's degree;germany;42
madrid;28;Female;Bachelor's degree;germany;42
berlin;37;Female;Master's degree;germany;43
paris;37;Female;Master's degree;germany;43
london;37;Female;Master's degree;germany;43
london;50;Female;High school degree or equivalent;germany;44
paris;50;Female;High school degree or equivalent;germany;44
berlin;50;Female;High school degree or equivalent;germany;44
belgium;28;Female;High school degree or equivalent;germany;45
paris;28;Female;High school degree or equivalent;germany;45
berlin;28;Female;High school degree or equivalent;germany;45
berlin;31;Male;Bachelor's degree;germany;46
paris;31;Male;Bachelor's degree;germany;46
warsaw;31;Male;Bachelor's degree;germany;46
paris;21;Female;High school degree or equivalent;germany;47
rome;21;Female;High school degree or equivalent;germany;47
berlin;21;Female;High school degree or equivalent;germany;47
rome;23;Female;Bachelor's degree;germany;48
paris;23;Female;Bachelor's degree;germany;48
berlin;23;Female;Bachelor's degree;germany;48
berlin;36;Male;Bachelor's degree;india;49
paris;36;Male;Bachelor's degree;india;49
madrid;36;Male;Bachelor's degree;india;49
berlin;28;Female;Master's degree;romania;50
paris;28;Female;Master's degree;romania;50
amsterdam;28;Female;Master's degree;romania;50
berlin;19;Female;High school degree or equivalent;germany;51
paris;19;Female;High school degree or equivalent;germany;51
london;19;Female;High school degree or equivalent;germany;51
berlin;19;Female;High school degree or equivalent;germany;52
warsaw;19;Female;High school degree or equivalent;germany;52
kiev;19;Female;High school degree or equivalent;germany;52
berlin;25;Male;Bachelor's degree;germany;53
paris;25;Male;Bachelor's degree;germany;53
vienna;25;Male;Bachelor's degree;germany;53
paris;34;Female;Master's degree;france;54
rome;34;Female;Master's degree;france;54
london;34;Female;Master's degree;france;54
copenhagen;20;Female;High school degree or equivalent;germany;55
berlin;20;Female;High school degree or equivalent;germany;55
vienna;20;Female;High school degree or equivalent;germany;55
paris;26;Female;Master's degree;france;56
berlin;26;Female;Master's degree;france;56
london;26;Female;Master's degree;france;56
kiev;29;Prefer not to say;Master's degree;germany;57
moscow;29;Prefer not to say;Master's degree;germany;57
minsk;29;Prefer not to say;Master's degree;germany;57
berlin;31;Male;Master's degree;germany;58
london;31;Male;Master's degree;germany;58
paris;31;Male;Master's degree;germany;58
berlin;23;Male;High school degree or equivalent;germany;59
paris;23;Male;High school degree or equivalent;germany;59
london;23;Male;High school degree or equivalent;germany;59
berlin;21;Female;High school degree or equivalent;germany;60
paris;21;Female;High school degree or equivalent;germany;60
rome;21;Female;High school degree or equivalent;germany;60
budapest;54;Male;High school degree or equivalent;germany;61
oslo;54;Male;High school degree or equivalent;germany;61
london;54;Male;High school degree or equivalent;germany;61
paris;30;Female;Master's degree;france;62
london;30;Female;Master's degree;france;62
rome;30;Female;Master's degree;france;62
berlin;24;Male;Bachelor's degree;germany;63
rome;24;Male;Bachelor's degree;germany;63
paris;24;Male;Bachelor's degree;germany;63
berlin;17;Male;Less than a high school degree;germany;64
stockholm;17;Male;Less than a high school degree;germany;64
paris;17;Male;Less than a high school degree;germany;64
berlin;25;Female;High school degree or equivalent;germany;65
copenhagen;25;Female;High school degree or equivalent;germany;65
helsinki;25;Female;High school degree or equivalent;germany;65
paris;16;Male;Less than a high school degree;germany;66
london;16;Male;Less than a high school degree;germany;66
berlin;16;Male;Less than a high school degree;germany;66
berlin;21;Male;High school degree or equivalent;germany;67
paris;21;Male;High school degree or equivalent;germany;67
vienna;21;Male;High school degree or equivalent;germany;67
paris;0;Prefer not to say;NaN;nan;68
berlin;0;Prefer not to say;NaN;nan;68
vienna;0;Prefer not to say;NaN;nan;68
paris;24;Female;Master's degree;france;69
london;24;Female;Master's degree;france;69
madrid;24;Female;Master's degree;france;69
paris;26;Female;Master's degree;france;70
london;26;Female;Master's degree;france;70
berlin;26;Female;Master's degree;france;70
berlin;34;Female;Master's degree;germany;71
london;34;Female;Master's degree;germany;71
paris;34;Female;Master's degree;germany;71
berlin;54;Male;Less than a high school degree;germany;72
rome;54;Male;Less than a high school degree;germany;72
paris;54;Male;Less than a high school degree;germany;72
berlin;23;Male;Bachelor's degree;germany;73
paris;23;Male;Bachelor's degree;germany;73
madrid;23;Male;Bachelor's degree;germany;73
berlin;27;Male;Master's degree;germany;74
athens;27;Male;Master's degree;germany;74
paris;27;Male;Master's degree;germany;74
rome;25;Male;Bachelor's degree;germany;75
berlin;25;Male;Bachelor's degree;germany;75
london;25;Male;Bachelor's degree;germany;75
paris;27;Female;Master's degree;germany;76
rome;27;Female;Master's degree;germany;76
berlin;27;Female;Master's degree;germany;76
paris;51;Male;High school degree or equivalent;germany;77
lisbon;51;Male;High school degree or equivalent;germany;77
berlin;51;Male;High school degree or equivalent;germany;77
berlin;26;Male;High school degree or equivalent;germany;78
paris;26;Male;High school degree or equivalent;germany;78
london;26;Male;High school degree or equivalent;germany;78
paris;27;Male;Bachelor's degree;germany;79
london;27;Male;Bachelor's degree;germany;79
berlin;27;Male;Bachelor's degree;germany;79
berlin;25;Male;Master's degree;germany;80
paris;25;Male;Master's degree;germany;80
madrid;25;Male;Master's degree;germany;80
madrid;25;Male;Bachelor's degree;germany;81
paris;25;Male;Bachelor's degree;germany;81
berlin;25;Male;Bachelor's degree;germany;81
valetta;21;Male;High school degree or equivalent;germany;82
dublin;21;Male;High school degree or equivalent;germany;82
reykjavik;21;Male;High school degree or equivalent;germany;82
berlin;23;Female;Bachelor's degree;germany;83
madrid;23;Female;Bachelor's degree;germany;83
rome;23;Female;Bachelor's degree;germany;83
berlin;28;Female;Master's degree;germany;84
paris;28;Female;Master's degree;germany;84
rome;28;Female;Master's degree;germany;84
london;25;Female;Master's degree;germany;85
vienna;25;Female;Master's degree;germany;85
